industry,organization_size,cloud_environment,endpoint_protection_type,region,data_sensitivity_level,employee_count,annual_revenue_inr,exposed_assets,internet_facing_assets,critical_vulnerabilities,high_vulnerabilities,average_patch_delay_days,mfa_coverage_percent,edr_coverage_percent,backup_success_rate_percent,immutable_backup_enabled,network_segmentation_score,phishing_failure_rate_percent,security_awareness_training_score,mean_time_to_detect_hours,mean_time_to_respond_hours,previous_security_incidents,third_party_vendor_risk_score,cloud_security_posture_score,privileged_accounts_count,encryption_coverage_percent,security_budget_inr,ransomware_incident,phishing_incident,data_breach_incident,ddos_incident,ransomware_impact_inr,phishing_impact_inr,data_breach_impact_inr,ddos_impact_inr
Banking & Financial Services,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),Critical (Cardholder / UPI Core),7996,16147697126.48,536,78,7,10,26.4,41.3,86.6,93.0,1,0.54,21.6,0.41,30.4,34.7,0,0.45,0.34,113,68.0,417022990.91,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),565,1376127220.46,214,55,2,11,62.8,59.1,47.1,95.7,0,0.73,11.7,0.84,33.7,20.4,0,0.42,0.86,121,65.2,28625857.84,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,None,North America,High (PII + Financial KYC),247,713341572.03,837,169,7,7,27.7,51.6,54.8,80.9,0,0.72,16.9,0.69,11.8,8.1,2,0.51,0.56,23,62.3,31487157.0,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),2071,4688912105.91,1212,129,2,11,40.9,71.1,67.3,83.2,0,0.87,28.6,0.45,17.8,95.6,1,0.31,0.36,213,59.3,180596216.18,0,1,0,0,0.0,23957463.37,0.0,0.0
Banking & Financial Services,Small (50-250),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),529,1360639203.04,748,76,3,13,45.3,70.9,91.7,86.3,0,0.58,18.5,0.73,13.9,110.5,0,0.21,0.89,243,61.8,60526032.07,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,APAC,Moderate (Internal Confidential),485,1236035679.83,1226,323,4,9,68.8,69.9,53.2,98.4,1,0.36,25.7,0.42,5.2,33.1,0,0.78,0.56,68,51.6,51427059.33,0,0,1,0,0.0,0.0,14988969.06,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),2009,3676399079.72,1156,304,5,15,62.8,57.0,84.1,91.8,0,0.8,16.0,0.65,52.1,29.3,0,0.25,0.84,12,67.3,131765941.42,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,APAC,Moderate (Internal Confidential),203,557458097.03,1319,275,4,14,25.9,70.8,49.5,61.4,1,0.31,20.5,0.66,4.0,10.5,0,0.59,0.47,44,52.4,14787100.27,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,High (PII + Financial KYC),2093,4978207734.27,495,99,2,11,56.2,81.6,70.2,77.0,0,0.71,29.7,0.9,5.9,26.3,0,0.64,0.46,178,80.3,166921735.13,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,Moderate (Internal Confidential),535,1666973010.77,1221,126,4,5,29.0,63.2,84.4,94.3,1,0.72,18.9,0.97,6.0,65.8,0,0.16,0.93,8,89.0,54651822.73,0,0,0,1,0.0,0.0,0.0,7366896.43
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),2018,5814306836.01,1334,238,2,8,73.7,94.8,48.5,61.4,1,0.35,21.0,0.48,28.4,58.1,1,0.66,0.46,36,57.6,107157795.33,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),On-Premises Legacy,Legacy Antivirus,European Union (GDPR),Moderate (Internal Confidential),7993,13771446410.55,453,141,5,13,24.0,44.0,56.0,84.9,1,0.24,16.5,0.81,4.8,10.8,1,0.84,0.89,214,89.4,429220894.13,0,0,0,1,0.0,0.0,0.0,69957966.19
Banking & Financial Services,Small (50-250),Azure Hybrid,Microsoft Defender for Endpoint,European Union (GDPR),Low (Public Data),533,1320516465.1,436,133,3,14,28.6,98.2,87.8,97.3,1,0.34,9.1,0.91,14.1,133.8,1,0.74,0.56,57,52.6,48253468.5,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,APAC,High (PII + Financial KYC),239,694292303.36,730,181,4,12,22.0,84.9,53.8,72.3,1,0.8,34.2,0.65,34.3,15.8,0,0.43,0.47,152,70.9,11666336.99,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),8085,13534479606.3,157,54,6,14,19.9,75.0,81.0,88.5,0,0.83,3.7,0.59,12.2,24.0,1,0.16,0.61,80,91.4,521181067.08,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),2001,6173073124.29,828,263,3,13,49.1,52.0,79.7,72.3,0,0.4,7.0,0.41,6.3,91.0,1,0.79,0.49,110,84.5,120381155.27,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),186,361585679.45,1211,113,2,16,12.4,77.0,73.1,85.3,1,0.59,25.8,0.73,10.2,55.4,0,0.73,0.32,228,69.5,11836001.22,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,North America,High (PII + Financial KYC),8020,20099480119.4,153,25,4,13,20.3,87.3,55.9,97.0,0,0.24,26.7,0.5,5.2,25.9,2,0.81,0.4,69,84.9,308829654.55,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,North America,Critical (Cardholder / UPI Core),2069,6995542607.56,1204,107,3,16,37.1,55.0,67.5,74.6,1,0.35,8.0,0.44,7.0,15.6,1,0.84,0.39,59,54.3,219038072.79,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),High (PII + Financial KYC),7989,21112278403.99,803,152,0,10,34.0,42.4,78.6,97.9,0,0.63,23.3,0.4,35.0,125.8,0,0.31,0.62,28,59.3,349068735.04,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),481,1129440382.54,811,229,3,9,45.7,66.1,92.6,75.1,0,0.37,31.3,0.96,16.7,20.5,2,0.34,0.45,82,87.2,17545275.66,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,Legacy Antivirus,European Union (GDPR),Critical (Cardholder / UPI Core),196,296663611.54,753,72,3,12,77.3,58.0,88.1,75.5,1,0.24,28.6,0.9,31.6,27.8,3,0.42,0.37,149,73.6,9599942.96,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,North America,Moderate (Internal Confidential),8027,14182322300.02,396,124,2,7,12.3,56.9,77.8,90.2,1,0.87,3.1,0.96,23.7,24.8,0,0.21,0.31,52,66.0,303709763.18,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,APAC,Critical (Cardholder / UPI Core),521,1384467768.27,1373,303,9,4,16.9,82.8,57.3,74.3,1,0.37,4.3,0.95,50.0,42.5,3,0.82,0.43,82,54.2,44428140.89,0,0,1,1,0.0,0.0,12690510.34,6103307.96
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,North America,Critical (Cardholder / UPI Core),2098,5219089870.58,414,113,4,7,49.3,48.7,56.7,73.0,0,0.78,17.9,0.76,7.8,35.8,2,0.67,0.81,226,69.1,182944657.51,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,North America,Low (Public Data),490,1091552592.13,1215,77,4,15,29.6,78.4,88.9,67.3,0,0.52,14.3,0.75,7.7,63.9,3,0.18,0.8,126,65.1,32750178.62,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,Legacy Antivirus,India (BFSI Regulated),High (PII + Financial KYC),2053,6870224425.43,489,38,5,10,13.1,43.6,80.9,63.5,0,0.73,6.0,0.89,7.6,69.0,1,0.63,0.91,13,56.5,124249480.81,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Multi-Cloud Enterprise,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),141,305260075.55,790,186,4,13,7.8,94.3,64.3,93.1,0,0.47,9.2,0.95,17.2,18.8,1,0.24,0.71,190,75.3,11468468.72,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,European Union (GDPR),Low (Public Data),493,1269130645.85,1465,441,3,6,30.9,74.6,97.5,78.8,1,0.65,33.2,0.74,66.5,13.5,2,0.7,0.49,126,57.3,33648513.76,0,0,0,1,0.0,0.0,0.0,10505811.35
SaaS & Cloud Provider,Large Enterprise (5000+),On-Premises Legacy,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),509,1342450250.9,1299,405,5,14,61.6,94.9,93.0,85.7,1,0.69,14.8,0.47,6.5,72.7,1,0.61,0.66,63,93.6,49372405.72,0,0,0,1,0.0,0.0,0.0,9283987.72
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),2084,5324488249.79,1163,298,3,8,37.0,91.2,81.3,78.9,0,0.29,10.1,0.48,19.7,16.7,0,0.54,0.56,171,98.7,180145725.94,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),GCP Native,None,APAC,Low (Public Data),8039,19737117925.18,38,4,6,11,33.6,91.3,64.9,74.8,0,0.86,8.2,0.78,17.5,31.3,1,0.38,0.37,206,57.6,486727838.63,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,APAC,Low (Public Data),2056,4470006082.48,827,89,3,8,25.3,47.1,61.7,76.1,0,0.46,21.9,0.45,10.1,23.9,1,0.64,0.41,194,56.5,194408394.93,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,Legacy Antivirus,India (BFSI Regulated),High (PII + Financial KYC),8009,26570075874.03,266,83,4,14,19.3,81.1,95.7,63.1,0,0.79,17.9,0.75,8.4,21.8,0,0.35,0.76,110,73.7,887503448.1,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),2017,4844040357.94,1248,104,7,17,18.6,63.6,68.9,86.6,1,0.61,13.9,0.96,8.4,45.7,0,0.17,0.93,181,98.0,101040680.16,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),204,521607137.88,1463,374,5,19,53.1,67.1,88.2,80.2,0,0.34,14.8,0.4,1.3,34.3,1,0.79,0.73,13,71.9,11486216.87,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),8044,22627417803.86,1110,233,1,12,19.7,56.5,95.7,62.6,1,0.47,9.5,0.51,11.6,48.3,1,0.23,0.74,32,69.9,512634250.65,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),570,932127888.37,361,63,6,11,13.2,48.3,71.6,84.8,0,0.26,26.9,0.95,40.7,46.4,0,0.7,0.82,80,96.8,37103150.23,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,North America,Moderate (Internal Confidential),8026,24580237246.77,364,66,3,15,41.9,58.1,80.3,68.3,1,0.4,27.0,0.68,10.9,21.1,1,0.41,0.81,47,72.2,873470196.01,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),Low (Public Data),2018,5095479503.51,943,314,3,14,75.9,72.4,49.7,65.5,0,0.36,4.0,0.57,6.7,179.3,1,0.47,0.76,46,89.1,91585099.04,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,North America,High (PII + Financial KYC),2086,5870742176.35,406,125,5,11,92.6,64.2,80.2,98.6,0,0.41,9.9,0.54,2.9,13.4,0,0.33,0.83,226,71.4,171944137.11,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Moderate (Internal Confidential),8028,24437425722.28,361,111,6,12,73.5,81.5,56.6,63.1,0,0.8,5.0,0.9,51.6,30.0,2,0.25,0.63,196,84.3,867590115.35,0,0,0,1,0.0,0.0,0.0,93931764.68
SaaS & Cloud Provider,Mid-Market (250-1000),Azure Hybrid,SentinelOne,APAC,High (PII + Financial KYC),580,1883955293.29,127,21,6,10,29.3,89.5,81.2,88.8,1,0.26,5.8,0.65,32.5,176.8,1,0.18,0.39,233,95.1,57409052.85,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),AWS Multi-Account,Legacy Antivirus,APAC,High (PII + Financial KYC),202,461457048.45,696,57,3,12,15.3,52.4,50.5,87.5,1,0.67,33.6,0.77,22.1,36.3,1,0.16,0.79,68,81.8,9399962.57,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,North America,Critical (Cardholder / UPI Core),537,1676975704.74,652,227,4,12,44.7,43.3,71.7,80.6,1,0.47,17.6,0.58,2.6,21.0,0,0.56,0.45,20,97.5,32360300.75,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),8091,16324998644.05,1017,95,0,10,88.8,98.5,73.1,63.4,0,0.56,9.4,0.72,38.2,70.9,0,0.78,0.89,88,85.9,724913428.14,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),2086,5883920335.79,1445,295,6,9,68.8,92.1,71.1,71.5,1,0.36,33.9,0.86,16.5,112.4,1,0.31,0.35,62,53.1,128973837.0,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Large Enterprise (5000+),Multi-Cloud Enterprise,Legacy Antivirus,APAC,Low (Public Data),569,970380908.17,615,79,7,10,45.4,55.6,85.9,66.4,0,0.92,18.2,0.6,6.7,16.2,0,0.2,0.4,133,51.9,15756133.23,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),2068,3184846013.27,1345,273,1,13,28.4,49.6,85.7,98.8,0,0.7,24.9,0.63,2.5,63.2,0,0.52,0.59,118,57.1,88657094.98,0,0,0,1,0.0,0.0,0.0,16087997.82
E-Commerce & Retail,Large Enterprise (5000+),GCP Native,SentinelOne,India (BFSI Regulated),Moderate (Internal Confidential),1996,3376286399.44,1150,162,2,10,30.5,96.1,83.1,63.9,1,0.35,33.6,0.66,71.0,54.7,0,0.5,0.68,179,57.0,136666519.93,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),On-Premises Legacy,SentinelOne,European Union (GDPR),High (PII + Financial KYC),485,1037301011.97,604,192,4,7,8.3,53.7,79.1,60.5,0,0.57,32.8,0.75,32.2,26.3,1,0.66,0.66,76,51.4,36323206.08,0,1,0,0,0.0,4612297.51,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,APAC,High (PII + Financial KYC),7994,12488140685.83,496,168,1,14,17.1,53.1,93.8,68.6,0,0.32,33.9,0.58,13.1,73.6,1,0.29,0.46,142,68.3,272049782.28,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),546,1507496469.23,356,61,1,12,19.1,46.5,76.1,91.0,0,0.88,29.9,0.66,2.8,48.3,0,0.75,0.48,21,98.6,41124295.09,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),AWS Multi-Account,None,India (BFSI Regulated),Moderate (Internal Confidential),224,477811953.2,332,23,2,16,55.2,57.0,63.8,93.3,0,0.55,25.4,0.72,8.5,31.2,1,0.2,0.54,154,78.6,15677545.29,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),2007,5966313535.81,1197,298,5,7,24.1,89.6,48.2,87.7,0,0.26,9.7,0.61,7.0,55.9,0,0.51,0.57,200,86.2,199994129.06,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),Multi-Cloud Enterprise,SentinelOne,APAC,Moderate (Internal Confidential),2052,3266435719.25,628,102,1,9,24.4,73.6,73.9,77.1,0,0.31,8.8,0.4,16.5,8.4,0,0.6,0.84,145,72.2,114290203.2,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),AWS Multi-Account,None,APAC,Low (Public Data),8023,15511693336.82,1392,481,5,12,42.3,45.4,57.3,91.2,0,0.57,14.3,0.56,20.4,59.1,3,0.31,0.33,57,58.6,555918389.02,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Small (50-250),AWS Multi-Account,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),2094,4849718345.28,809,62,3,9,22.7,97.1,65.9,86.7,0,0.35,31.8,0.87,21.4,29.0,1,0.19,0.82,159,67.2,82772376.4,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),GCP Native,Legacy Antivirus,India (BFSI Regulated),High (PII + Financial KYC),1997,4523810339.8,613,52,4,16,47.0,71.8,47.7,99.2,1,0.73,10.9,0.56,28.1,88.7,1,0.21,0.89,13,60.9,84215551.28,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,Legacy Antivirus,APAC,Moderate (Internal Confidential),2091,3684336449.8,319,82,4,14,54.8,64.6,79.6,77.3,0,0.52,9.7,0.88,21.9,49.9,2,0.77,0.8,200,77.0,76269258.01,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,SentinelOne,India (BFSI Regulated),Critical (Cardholder / UPI Core),583,2033663524.64,711,197,1,10,41.7,86.3,92.9,67.4,1,0.62,21.4,0.64,61.7,128.6,2,0.15,0.87,133,72.9,46437985.65,0,0,0,1,0.0,0.0,0.0,8939031.88
Healthcare,Small (50-250),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),2011,4160515994.11,747,142,4,13,35.9,73.1,62.6,62.6,0,0.66,10.4,0.9,22.4,12.5,1,0.34,0.72,244,91.8,107182234.88,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,Critical (Cardholder / UPI Core),562,1653440063.15,255,33,5,16,57.5,92.9,88.5,84.7,0,0.91,21.5,0.62,31.2,36.2,1,0.84,0.38,199,60.4,61449125.19,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8048,15613549718.32,984,140,2,11,23.3,81.4,51.8,96.9,0,0.9,23.8,0.57,79.4,21.2,0,0.42,0.73,81,78.1,551738796.36,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),GCP Native,SentinelOne,APAC,Critical (Cardholder / UPI Core),173,563236518.91,916,138,6,14,22.1,79.4,84.0,91.0,0,0.48,14.3,0.54,25.7,51.1,1,0.23,0.45,88,51.0,24809023.2,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),Azure Hybrid,SentinelOne,India (BFSI Regulated),Critical (Cardholder / UPI Core),2049,4662533554.99,230,27,4,11,39.5,59.9,49.3,88.9,1,0.87,17.5,0.58,10.2,14.9,1,0.19,0.71,80,89.1,145911920.11,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),192,633946555.77,305,93,3,14,4.7,98.4,59.0,80.4,1,0.95,18.0,0.52,25.4,19.4,0,0.81,0.82,61,77.4,15713511.01,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,India (BFSI Regulated),Low (Public Data),555,1211936760.79,442,30,2,7,69.8,78.5,64.5,67.1,1,0.86,6.9,0.84,9.3,56.3,2,0.77,0.43,187,53.1,42090962.87,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),Low (Public Data),8037,12194440786.74,513,88,2,8,36.3,66.1,53.5,70.8,0,0.24,6.6,0.97,8.8,21.0,1,0.21,0.87,86,90.0,376978889.42,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,India (BFSI Regulated),Critical (Cardholder / UPI Core),8026,20338211959.67,1037,284,3,7,2.6,48.7,55.0,71.1,0,0.45,7.8,0.63,31.9,31.8,1,0.56,0.9,136,53.0,518110408.03,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,APAC,Critical (Cardholder / UPI Core),585,1491501885.3,1462,74,3,5,113.0,72.8,82.7,86.3,0,0.28,27.2,0.59,3.5,18.5,0,0.58,0.33,217,71.1,28419361.5,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,Legacy Antivirus,North America,Critical (Cardholder / UPI Core),146,253991581.37,856,268,4,13,48.3,79.3,50.2,93.8,1,0.71,27.6,0.77,13.9,52.3,0,0.64,0.72,132,92.4,4846112.06,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),GCP Native,SentinelOne,North America,Critical (Cardholder / UPI Core),2018,3975312982.32,786,205,6,12,71.7,61.9,95.4,65.4,1,0.46,16.7,0.65,21.9,36.5,0,0.25,0.66,44,52.9,98537809.91,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),Multi-Cloud Enterprise,SentinelOne,North America,Low (Public Data),538,1650041255.9,364,26,1,9,41.9,43.8,86.5,61.3,1,0.34,3.9,0.43,22.7,94.9,0,0.27,0.34,164,62.4,45063182.89,0,1,0,0,0.0,8574667.82,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),Azure Hybrid,SentinelOne,India (BFSI Regulated),Moderate (Internal Confidential),486,764726661.54,542,172,3,8,24.5,87.1,64.3,80.2,0,0.36,3.4,0.6,17.1,72.5,3,0.81,0.7,207,65.1,32526838.2,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),542,1343646928.37,838,164,3,14,6.9,78.6,79.0,95.5,1,0.48,33.7,0.86,9.2,5.9,0,0.59,0.59,244,77.0,37042437.26,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,APAC,Critical (Cardholder / UPI Core),596,1526246483.11,338,83,4,14,37.3,80.4,83.8,98.0,1,0.65,10.3,0.44,70.6,60.1,0,0.4,0.33,163,74.0,42580689.91,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),Azure Hybrid,Legacy Antivirus,APAC,Moderate (Internal Confidential),536,1542299329.04,1385,435,3,10,46.4,54.5,77.1,78.9,0,0.71,8.4,0.55,13.8,97.4,1,0.75,0.77,42,91.4,48798290.84,0,0,0,1,0.0,0.0,0.0,8134809.65
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,India (BFSI Regulated),Moderate (Internal Confidential),8054,12684345555.28,1422,447,3,8,35.7,47.7,78.4,69.9,0,0.22,5.7,0.97,10.8,15.2,0,0.52,0.95,158,93.9,360222734.68,0,0,0,1,0.0,0.0,0.0,48672521.75
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,Critical (Cardholder / UPI Core),513,1370373131.59,1036,178,4,13,16.7,66.7,94.5,90.3,0,0.94,25.4,0.56,41.7,106.4,0,0.23,0.78,72,67.1,37045512.44,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,India (BFSI Regulated),High (PII + Financial KYC),8032,12097766859.59,714,86,3,9,5.8,54.2,92.6,66.7,0,0.23,26.3,0.89,6.3,13.5,0,0.68,0.72,204,94.1,480765141.75,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),195,395919563.24,609,77,4,12,19.9,86.1,94.3,92.5,0,0.94,33.7,0.92,16.1,180.5,0,0.74,0.89,51,69.2,13275233.86,0,0,0,1,0.0,0.0,0.0,2130465.76
Healthcare,Enterprise (1000-5000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),2057,5141201026.37,654,182,4,16,26.3,71.4,92.8,94.3,1,0.4,30.0,0.8,5.8,139.4,0,0.18,0.79,30,88.2,172528434.19,0,0,0,0,0.0,0.0,0.0,0.0
